,cost,reduced_scenario,probability
0,11492352.682080168,278.0,0.0
1,11679479.59283543,277.0,0.0
2,11395964.65853171,185.0,0.0
3,11550732.400532687,3.0,0.116
4,11639558.430230744,277.0,0.0
5,11435834.615391003,217.0,0.0
6,11521166.44684379,421.0,0.0
7,11594388.193098372,174.0,0.0
8,11354284.70292594,353.0,0.0
9,11500885.949168157,278.0,0.0
10,11424501.321694756,217.0,0.0
11,11331277.412099723,72.0,0.0
12,11383818.612224443,331.0,0.0
13,11658535.506713225,277.0,0.0
14,11457515.696369484,132.0,0.0
15,11388811.110596556,331.0,0.0
16,11372767.245056193,331.0,0.0
17,11461980.526738662,35.0,0.0
18,11501358.294703651,278.0,0.0
19,11380614.269196536,331.0,0.0
20,11508122.986300435,278.0,0.0
21,11385989.8992502,331.0,0.0
22,11443405.327793023,132.0,0.0
23,11387242.710678142,331.0,0.0
24,11417044.099428589,217.0,0.0
25,11373159.826858897,331.0,0.0
26,11512609.708821572,421.0,0.0
27,11409667.838877134,185.0,0.0
28,11537879.035246288,3.0,0.0
29,11267093.834289376,364.0,0.0
30,11466948.747407896,35.0,0.0
31,11730753.333809668,161.0,0.0
32,11500670.186356574,278.0,0.0
33,11449639.518324578,132.0,0.0
34,11424794.336433778,217.0,0.0
35,11474376.57936353,35.0,0.116
36,11329319.226647122,72.0,0.0
37,11695920.12288262,161.0,0.0
38,11316734.763762753,72.0,0.0
39,11637618.224021425,237.0,0.0
40,11447917.774002539,132.0,0.0
41,11652258.684148354,277.0,0.0
42,11442019.801173408,132.0,0.0
43,11587841.282450551,174.0,0.0
44,11464732.453932257,35.0,0.0
45,11326591.23382048,72.0,0.0
46,11485744.864432145,35.0,0.0
47,11518397.052455235,421.0,0.0
48,11468497.483739961,35.0,0.0
49,11485835.81380283,35.0,0.0
50,11520753.156461371,421.0,0.0
51,11456388.950745871,132.0,0.0
52,11406925.066664167,185.0,0.0
53,11649995.872265592,277.0,0.0
54,11611096.92940583,237.0,0.0
55,11423825.892527178,217.0,0.0
56,11382291.056309829,331.0,0.0
57,11555184.906407177,3.0,0.0
58,11534379.209832579,421.0,0.0
59,11559672.42678658,3.0,0.0
60,11335863.572050422,353.0,0.0
61,11418611.92281936,217.0,0.0
62,11550245.45234524,3.0,0.0
63,11483130.09518602,35.0,0.0
64,11349628.06954466,353.0,0.0
65,11337715.324300732,353.0,0.0
66,11344408.406825691,353.0,0.0
67,11407265.33185895,185.0,0.0
68,11425614.204783194,217.0,0.0
69,11477125.120094528,35.0,0.0
70,11484777.056202555,35.0,0.0
71,11467890.820597818,35.0,0.0
72,11313636.9692624,72.0,0.04200000000000001
73,11338152.048158972,353.0,0.0
74,11369202.662086608,331.0,0.0
75,11500236.412150977,278.0,0.0
76,11513047.44581267,421.0,0.0
77,11465675.472436996,35.0,0.0
78,11373894.483174954,331.0,0.0
79,11520508.490700774,421.0,0.0
80,11374643.269730993,331.0,0.0
81,11507153.107414521,278.0,0.0
82,11537332.840981768,3.0,0.0
83,11818530.849556921,161.0,0.0
84,11749171.66744447,161.0,0.0
85,11405524.932869038,185.0,0.0
86,11473744.350914605,35.0,0.0
87,11552649.014321763,3.0,0.0
88,11523412.947213605,421.0,0.0
89,11540068.20390036,3.0,0.0
90,11629824.022130629,237.0,0.0
91,11701348.909234442,161.0,0.0
92,11562912.921157315,3.0,0.0
93,11510964.06376565,421.0,0.0
94,11450065.066461356,132.0,0.0
95,11193409.719365172,235.0,0.0
96,11524361.000906812,421.0,0.0
97,11525554.28071337,421.0,0.0
98,11560397.243328182,3.0,0.0
99,11594502.247354342,174.0,0.0
100,11565470.033050217,3.0,0.0
101,11532925.11509678,421.0,0.0
102,11507144.257265804,278.0,0.0
103,11417365.422992347,217.0,0.0
104,11396909.727245878,185.0,0.0
105,11631656.468780804,237.0,0.0
106,11471750.465307113,35.0,0.0
107,11409706.07225173,185.0,0.0
108,11466803.85211321,35.0,0.0
109,11377039.257363323,331.0,0.0
110,11698834.375114935,161.0,0.0
111,11555073.86805692,3.0,0.0
112,11658866.763486255,277.0,0.0
113,11454362.92623651,132.0,0.0
114,11659426.68024932,277.0,0.0
115,11370561.82325566,331.0,0.0
116,11463209.039376384,35.0,0.0
117,11564878.195208086,3.0,0.0
118,11427231.609783672,217.0,0.0
119,11578061.521382552,174.0,0.0
120,11551084.81935136,3.0,0.0
121,11441580.644178549,132.0,0.0
122,11456880.393145278,132.0,0.0
123,11470095.498375444,35.0,0.0
124,11455625.597298048,132.0,0.0
125,11563721.263956046,3.0,0.0
126,11449554.33439119,132.0,0.0
127,11587460.23207515,174.0,0.0
128,11490649.501708338,278.0,0.0
129,11504522.585585387,278.0,0.0
130,11539734.191430267,3.0,0.0
131,11407631.233015256,185.0,0.0
132,11448367.563463649,132.0,0.082
133,11577422.328672975,174.0,0.0
134,11411648.886759646,185.0,0.0
135,11430007.204043644,217.0,0.0
136,11461488.670084083,35.0,0.0
137,11654382.675299577,277.0,0.0
138,11520048.710215697,421.0,0.0
139,11440882.252371037,132.0,0.0
140,11498917.604833132,278.0,0.0
141,11604817.496622466,237.0,0.0
142,11357467.841695206,353.0,0.0
143,11564954.647593739,3.0,0.0
144,11459855.291267907,132.0,0.0
145,11288591.548947647,364.0,0.0
146,11376061.910898715,331.0,0.0
147,11313256.755077574,72.0,0.0
148,11423408.307451129,217.0,0.0
149,11403385.239886757,185.0,0.0
150,11475190.822779197,35.0,0.0
151,11302270.80488949,72.0,0.0
152,11387474.680926202,331.0,0.0
153,11483608.419907248,35.0,0.0
154,11366178.91951216,331.0,0.0
155,11400562.781166658,185.0,0.0
156,11535390.266060982,3.0,0.0
157,11538465.810542071,3.0,0.0
158,11475866.758192144,35.0,0.0
159,11539604.40023704,3.0,0.0
160,11533296.558532506,421.0,0.0
161,11720931.096936382,161.0,0.02800000000000001
162,11383388.003220424,331.0,0.0
163,11394656.781786347,185.0,0.0
164,11560863.758701293,3.0,0.0
165,11513161.433053374,421.0,0.0
166,11731682.213113284,161.0,0.0
167,11467376.892380321,35.0,0.0
168,11466224.20069058,35.0,0.0
169,11348965.907915102,353.0,0.0
170,11448688.011746656,132.0,0.0
171,11505694.759642739,278.0,0.0
172,11377111.469546372,331.0,0.0
173,11436162.372932091,217.0,0.0
174,11581787.390176712,174.0,0.064
175,11592372.357606139,174.0,0.0
176,11388724.76706256,331.0,0.0
177,11369640.496601738,331.0,0.0
178,11542265.551629448,3.0,0.0
179,11516501.487033293,421.0,0.0
180,11427037.87909499,217.0,0.0
181,11439567.155705746,132.0,0.0
182,11519818.854692122,421.0,0.0
183,11503924.145332597,278.0,0.0
184,11523529.771724062,421.0,0.0
185,11404253.967811048,185.0,0.08
186,11473809.8981426,35.0,0.0
187,11442328.17267701,132.0,0.0
188,11334329.653432855,353.0,0.0
189,11515027.941742945,421.0,0.0
190,11446331.11688099,132.0,0.0
191,11474585.323418831,35.0,0.0
192,11380874.894459425,331.0,0.0
193,11438710.388434265,132.0,0.0
194,11601392.80852195,237.0,0.0
195,11517433.447908886,421.0,0.0
196,11170226.431838678,235.0,0.0
197,11475179.497861294,35.0,0.0
198,11473739.32152555,35.0,0.0
199,11524559.652881177,421.0,0.0
200,11629916.200084265,237.0,0.0
201,11573640.042535812,174.0,0.0
202,11565022.872478645,3.0,0.0
203,11289837.610640703,364.0,0.0
204,11395404.298379665,185.0,0.0
205,11594348.576761654,174.0,0.0
206,11369138.8669741,331.0,0.0
207,11515459.350618044,421.0,0.0
208,11470550.617375175,35.0,0.0
209,11500090.769463314,278.0,0.0
210,11401506.987784537,185.0,0.0
211,11536971.517511267,3.0,0.0
212,11445476.370990109,132.0,0.0
213,11480992.24295411,35.0,0.0
214,11524744.853893032,421.0,0.0
215,11459927.93989982,132.0,0.0
216,11771507.228230609,161.0,0.0
217,11427590.570732333,217.0,0.08
218,11355332.0080574,353.0,0.0
219,11482483.293618342,35.0,0.0
220,11575063.464167614,174.0,0.0
221,11411750.080528865,185.0,0.0
222,11388015.413591743,331.0,0.0
223,11373252.680194598,331.0,0.0
224,11479854.683545897,35.0,0.0
225,11421997.333002925,217.0,0.0
226,11464341.921619404,35.0,0.0
227,11606200.513945889,237.0,0.0
228,11321086.530874122,72.0,0.0
229,11465221.324779255,35.0,0.0
230,11462615.12362196,35.0,0.0
231,11413316.934285095,185.0,0.0
232,11497989.966834702,278.0,0.0
233,11318104.772844562,72.0,0.0
234,11432925.774468172,217.0,0.0
235,11228727.902915034,235.0,0.014
236,11401017.165398315,185.0,0.0
237,11613279.772019967,237.0,0.04400000000000001
238,11555278.41541208,3.0,0.0
239,11508142.50873771,278.0,0.0
240,11304825.38074785,72.0,0.0
241,11432485.025482174,217.0,0.0
242,11555875.829750618,3.0,0.0
243,11433060.949269101,217.0,0.0
244,11493739.216542076,278.0,0.0
245,11473174.94215149,35.0,0.0
246,11323040.148815865,72.0,0.0
247,11631226.947110686,237.0,0.0
248,11452174.155623818,132.0,0.0
249,11612645.53822249,237.0,0.0
250,11548168.679386204,3.0,0.0
251,11535756.703310035,3.0,0.0
252,11470090.579257263,35.0,0.0
253,11541718.537009109,3.0,0.0
254,11363860.705920937,353.0,0.0
255,11551732.086638417,3.0,0.0
256,11572598.22357931,174.0,0.0
257,11373573.243963512,331.0,0.0
258,11575722.962489432,174.0,0.0
259,11419689.642226916,217.0,0.0
260,11292012.336400611,364.0,0.0
261,11243540.347298363,235.0,0.0
262,11458964.98557663,132.0,0.0
263,11482171.896859333,35.0,0.0
264,11385192.943829361,331.0,0.0
265,11404315.176846959,185.0,0.0
266,11382862.306114743,331.0,0.0
267,11449623.261316163,132.0,0.0
268,11512643.56634846,421.0,0.0
269,11516703.098632539,421.0,0.0
270,11476930.022357157,35.0,0.0
271,11347600.349990545,353.0,0.0
272,11586616.228577314,174.0,0.0
273,11422429.409660766,217.0,0.0
274,11588811.773091704,174.0,0.0
275,11549128.77648093,3.0,0.0
276,11440339.050019193,132.0,0.0
277,11663496.524953697,277.0,0.04200000000000001
278,11503083.954661213,278.0,0.07600000000000001
279,11538252.836149829,3.0,0.0
280,11583656.70333802,174.0,0.0
281,11548451.136974111,3.0,0.0
282,11571336.024992513,174.0,0.0
283,11430562.288772054,217.0,0.0
284,11604054.681917697,237.0,0.0
285,11672585.549129143,277.0,0.0
286,11509533.703714948,278.0,0.0
287,11504498.836518867,278.0,0.0
288,11570328.752242712,174.0,0.0
289,11473252.248027984,35.0,0.0
290,11415137.890466198,185.0,0.0
291,11549764.242082417,3.0,0.0
292,11598680.378922243,237.0,0.0
293,11524532.750307987,421.0,0.0
294,11417332.769372368,217.0,0.0
295,11419623.330604333,217.0,0.0
296,11498316.594110798,278.0,0.0
297,11479747.594483523,35.0,0.0
298,11632610.31378882,237.0,0.0
299,11136324.818271147,235.0,0.0
300,11382113.809444657,331.0,0.0
301,11506909.818770742,278.0,0.0
302,11416417.091431081,217.0,0.0
303,11436805.60184077,217.0,0.0
304,11350687.809771122,353.0,0.0
305,11448960.272251857,132.0,0.0
306,11413224.035841418,185.0,0.0
307,11647491.715764701,277.0,0.0
308,11446618.807394408,132.0,0.0
309,11422673.632422876,217.0,0.0
310,11405286.432161028,185.0,0.0
311,11497473.394593202,278.0,0.0
312,11675833.941718252,277.0,0.0
313,11614557.287648357,237.0,0.0
314,11411274.19308382,185.0,0.0
315,11613762.415771585,237.0,0.0
316,11317882.628076052,72.0,0.0
317,11503310.328315001,278.0,0.0
318,11395531.95517129,185.0,0.0
319,11502392.56917643,278.0,0.0
320,11569901.176798569,174.0,0.0
321,11683479.427630804,277.0,0.0
322,11401196.47252409,185.0,0.0
323,11689185.654786492,277.0,0.0
324,11499893.491909813,278.0,0.0
325,11435655.879682038,217.0,0.0
326,11504480.03613695,278.0,0.0
327,11507093.428359281,278.0,0.0
328,11545956.244156955,3.0,0.0
329,11342164.347368792,353.0,0.0
330,11403042.072073003,185.0,0.0
331,11379223.274812678,331.0,0.082
332,11485363.677673273,35.0,0.0
333,11436888.725243613,217.0,0.0
334,11565084.29705474,3.0,0.0
335,11386346.521420674,331.0,0.0
336,11409845.769201774,185.0,0.0
337,11382851.232303275,331.0,0.0
338,11324592.823783385,72.0,0.0
339,11440088.536045957,132.0,0.0
340,11419929.919460922,217.0,0.0
341,11515408.03380312,421.0,0.0
342,11428032.01503806,217.0,0.0
343,11421963.48915085,217.0,0.0
344,11541211.64960139,3.0,0.0
345,11559468.599655693,3.0,0.0
346,11583277.409773424,174.0,0.0
347,11487553.02131674,35.0,0.0
348,11437187.900361944,217.0,0.0
349,11447806.844433732,132.0,0.0
350,11695640.806045966,161.0,0.0
351,11726103.909770258,161.0,0.0
352,11563768.724024598,3.0,0.0
353,11350253.883493325,353.0,0.038000000000000006
354,11472247.864179773,35.0,0.0
355,11552718.800654145,3.0,0.0
356,11357694.509828411,353.0,0.0
357,11462155.848867476,35.0,0.0
358,11456952.941389425,132.0,0.0
359,11547739.578621028,3.0,0.0
360,11250155.711788675,235.0,0.0
361,11312101.304348113,72.0,0.0
362,11362930.405951701,353.0,0.0
363,11557989.393326826,3.0,0.0
364,11288261.029155264,364.0,0.020000000000000004
365,11518955.250996731,421.0,0.0
366,11396914.86064003,185.0,0.0
367,11583181.09440391,174.0,0.0
368,11560963.131857077,3.0,0.0
369,11412246.443622286,185.0,0.0
370,11475422.30854645,35.0,0.0
371,11713566.902892834,161.0,0.0
372,11432468.240890143,217.0,0.0
373,11380050.98282435,331.0,0.0
374,11519663.869502839,421.0,0.0
375,11465435.304669235,35.0,0.0
376,11568097.202279914,174.0,0.0
377,11466538.332707476,35.0,0.0
378,11556241.73465352,3.0,0.0
379,11500396.89325891,278.0,0.0
380,11473728.109268796,35.0,0.0
381,11535084.639090804,3.0,0.0
382,11291576.118904913,364.0,0.0
383,11408532.544231066,185.0,0.0
384,11501666.012738017,278.0,0.0
385,11398052.106427422,185.0,0.0
386,11559365.991578873,3.0,0.0
387,11392360.515611755,185.0,0.0
388,11602968.536293289,237.0,0.0
389,11514123.324077107,421.0,0.0
390,11556446.476432363,3.0,0.0
391,11546602.073106973,3.0,0.0
392,11507143.909266967,278.0,0.0
393,11618293.392665459,237.0,0.0
394,11503879.056221612,278.0,0.0
395,11531894.130978018,421.0,0.0
396,11548523.782670435,3.0,0.0
397,11439852.208702872,132.0,0.0
398,11624598.747143818,237.0,0.0
399,11578812.59983237,174.0,0.0
400,11512458.969540033,421.0,0.0
401,11376360.60874874,331.0,0.0
402,11596779.774398077,174.0,0.0
403,11384887.981418481,331.0,0.0
404,11652287.822535058,277.0,0.0
405,11616958.360131357,237.0,0.0
406,11583509.464031138,174.0,0.0
407,11373387.641314648,331.0,0.0
408,11500177.791620828,278.0,0.0
409,11541411.834821515,3.0,0.0
410,11374665.499587288,331.0,0.0
411,11548715.069458935,3.0,0.0
412,11561757.411614321,3.0,0.0
413,11427538.854946354,217.0,0.0
414,11543627.235457592,3.0,0.0
415,11280615.81898817,364.0,0.0
416,11428466.573263565,217.0,0.0
417,11356596.251836015,353.0,0.0
418,11483613.967543973,35.0,0.0
419,11431527.259827066,217.0,0.0
420,11212554.11642258,235.0,0.0
421,11518559.978519771,421.0,0.07600000000000001
422,11439465.545324022,132.0,0.0
423,11556193.305209395,3.0,0.0
424,11485581.037418533,35.0,0.0
425,11277903.206687473,364.0,0.0
426,11482806.33281353,35.0,0.0
427,11429169.748623766,217.0,0.0
428,11582159.033925517,174.0,0.0
429,11641343.487233398,277.0,0.0
430,11711484.334725562,161.0,0.0
431,11509276.961697929,278.0,0.0
432,11663852.439200845,277.0,0.0
433,11272199.529675698,364.0,0.0
434,11467655.52812179,35.0,0.0
435,11452081.736136429,132.0,0.0
436,11575695.294706296,174.0,0.0
437,11397983.307303796,185.0,0.0
438,11447535.64343612,132.0,0.0
439,11530349.515683576,421.0,0.0
440,11313693.699132,72.0,0.0
441,11506657.165243274,278.0,0.0
442,11313779.822275855,72.0,0.0
443,11423057.553188635,217.0,0.0
444,11465364.059145585,35.0,0.0
445,11592671.278688975,174.0,0.0
446,11547328.013527747,3.0,0.0
447,11259717.227468483,364.0,0.0
448,11376370.745241418,331.0,0.0
449,11393580.47718311,185.0,0.0
450,11658442.634691631,277.0,0.0
451,11592927.209169716,174.0,0.0
452,11676376.010123316,277.0,0.0
453,11351030.344768645,353.0,0.0
454,11461036.789236467,132.0,0.0
455,11554913.429779157,3.0,0.0
456,11325056.68420932,72.0,0.0
457,11404458.656272402,185.0,0.0
458,11475345.050441315,35.0,0.0
459,11522603.971500376,421.0,0.0
460,11408410.508745642,185.0,0.0
461,11591728.02217689,174.0,0.0
462,11504978.215926839,278.0,0.0
463,11486722.110849494,35.0,0.0
464,11369973.744943725,331.0,0.0
465,11396584.215300158,185.0,0.0
466,11494483.666737823,278.0,0.0
467,11459667.830680545,132.0,0.0
468,11308658.102322295,72.0,0.0
469,11442951.966737209,132.0,0.0
470,11662566.582118206,277.0,0.0
471,11367102.257487297,331.0,0.0
472,11599981.282832809,237.0,0.0
473,11406869.937309155,185.0,0.0
474,11371628.961032009,331.0,0.0
475,11441965.121269276,132.0,0.0
476,11742159.978635712,161.0,0.0
477,11315034.312718114,72.0,0.0
478,11451987.476587627,132.0,0.0
479,11468534.373344302,35.0,0.0
480,11543237.811100762,3.0,0.0
481,11397738.807932025,185.0,0.0
482,11430485.08067338,217.0,0.0
483,11322692.274775371,72.0,0.0
484,11513117.0663622,421.0,0.0
485,11660390.63571745,277.0,0.0
486,11553630.922313806,3.0,0.0
487,11445335.177810078,132.0,0.0
488,11526257.764055425,421.0,0.0
489,11612191.262367273,237.0,0.0
490,11418951.612596562,217.0,0.0
491,11322713.261964487,72.0,0.0
492,11477654.979290701,35.0,0.0
493,11521348.419058586,421.0,0.0
494,11483556.777097527,35.0,0.0
495,11507022.501793899,278.0,0.0
496,11392358.869913317,185.0,0.0
497,11586483.640614023,174.0,0.0
498,11597067.342746533,174.0,0.0
499,11382176.338656023,331.0,0.0
